class,RFoutput1,CNNoutput0,CNNoutput1
0,0.025,0.8859392,-3.1229172
0,0.01,3.2430787,-5.6636806
0,0.05,3.8554306,-5.8214846
0,0.005,3.3478065,-5.4837394
1,0.895,-3.788875,0.15739654
0,0.07,0.55600125,-2.8408237
1,0.77,-4.387127,2.4160094
0,0.055,0.7076999,-3.3905973
0,0.105,-1.531703,-2.0356658
1,0.75,-4.599995,1.6310457
0,0.025,2.097663,-4.066792
0,0.01,2.7560728,-4.816996
0,0.03,2.1148572,-3.8568087
0,0.005,3.6150386,-6.087328
0,0.035,2.7028081,-4.6961217
0,0.01,2.4068563,-5.3660817
0,0.025,2.5602114,-3.1999786
0,0.005,1.36967,-3.8749013
1,0.15,-1.781158,-0.41335392
0,0.045,2.1147945,-4.814527
0,0.07,1.9244246,-4.073766
0,0.035,4.309855,-6.3220096
0,0.035,2.8780434,-5.3184
0,0,2.9630218,-4.888391
1,0.88,-3.0661016,0.49793363
0,0.03,0.7826546,-2.2406464
0,0.01,2.8731973,-5.4984097
0,0.045,1.629746,-3.7415948
0,0.04,1.809166,-4.4932837
0,0.035,3.089302,-4.979959
0,0.005,3.1499426,-4.9673915
0,0.02,2.9259124,-5.238678
0,0.025,2.0081854,-4.050629
0,0.03,1.3654596,-4.1512394
0,0.005,1.9356159,-3.5611575
0,0.015,3.6574883,-6.1635404
0,0.055,3.569127,-5.1102986
0,0.035,1.9899695,-4.223584
0,0.045,1.6647358,-3.4322493
0,0.01,2.2265372,-4.1619687
0,0.005,2.3899307,-4.662172
0,0.01,4.0485973,-6.3634486
0,0.05,3.1498582,-6.2778354
0,0.015,2.220127,-5.575638
0,0.07,0.91157216,-3.940905
0,0.01,2.2486007,-4.7222233
0,0.005,2.1238427,-3.8673582
0,0.045,2.8143327,-5.381187
0,0.005,3.4940012,-5.4987464
1,0.87,-3.6344936,0.22133197
0,0.055,3.1328685,-5.413325
0,0.025,0.61021596,-3.2086365
0,0.06,0.52978754,-3.3400412
0,0.075,0.4085773,-3.3857582
0,0.01,1.7721817,-4.2671647
0,0.045,1.6713986,-3.7935965
0,0.005,2.703807,-4.8240385
0,0.02,4.2697425,-7.10074
0,0.015,2.9659386,-5.375894
0,0,1.0951046,-3.5095444
0,0.03,1.463092,-3.0667605
0,0.055,3.114255,-5.570835
0,0,2.9957616,-4.3109746
0,0.005,2.409728,-4.8582983
0,0.035,0.9489874,-3.1886168
0,0.04,2.7890577,-5.0747266
0,0.01,2.7890496,-4.655107
0,0.07,2.5865533,-4.6974373
1,0.6,-2.8879194,0.6111473
0,0.065,0.5611908,-2.3023152
0,0.005,2.92957,-5.538215
0,0.035,0.7385757,-3.402247
0,0.02,2.8510337,-4.633624
0,0.08,2.082764,-4.1532474
0,0.02,3.6427128,-5.841049
0,0.115,-0.8768019,-2.43682
0,0.07,1.6962588,-3.1666603
0,0.03,2.211884,-4.8715463
0,0.005,3.4765174,-5.47893
0,0.215,0.03990603,-1.652985
0,0.005,3.0717723,-4.9632835
0,0.045,0.74983937,-3.2565694
0,0.02,1.2698069,-3.4511592
0,0.06,2.4080803,-4.3844666
0,0.045,2.2325437,-4.2743134
0,0.1,1.229984,-3.3549826
0,0.03,3.0710511,-5.261516
1,0.61,-3.153891,0.07488568
0,0.02,2.4301355,-4.16752
0,0.01,2.8772175,-5.48598
0,0.025,1.7679377,-4.013625
0,0.015,2.6570094,-5.4571123
0,0.005,1.8183103,-4.3263535
0,0.04,1.692793,-4.9234276
0,0.005,3.1330438,-5.4192967
0,0.075,1.3242439,-3.3823934
0,0.05,2.5563445,-5.1540837
0,0.03,2.0595071,-5.0174127
0,0.015,3.487649,-5.151669
0,0.05,1.2345531,-3.1082666
1,0.775,-7.355388,3.759204
0,0.025,3.0142963,-4.957179
0,0.025,2.1786354,-3.953908
0,0,4.6133795,-7.5817323
0,0.025,3.2340808,-5.679905
0,0.005,2.7677562,-5.042808
0,0.035,1.7190418,-4.921565
0,0.03,2.573794,-4.0364304
0,0.005,1.1579986,-3.436125
1,0.165,-0.05106562,-2.0368373
0,0.005,0.88041395,-3.4930043
0,0.005,2.257476,-3.52464
0,0.01,1.7018468,-3.64271
0,0.035,4.440144,-7.0278764
0,0.08,1.5854621,-3.966409
0,0.02,3.658165,-5.2157855
0,0.02,2.4200912,-4.1339936
0,0.805,-3.4466548,1.3015388
0,0.01,2.8061528,-4.665795
0,0.275,1.0561776,-3.9518707
0,0.025,2.295615,-4.3483543
0,0.12,0.19855282,-1.8764693
0,0.035,2.0097969,-3.7042575
0,0,1.439533,-3.6480155
1,0.345,-3.8909743,1.4287728
0,0.025,2.4142375,-5.1016803
1,0.785,-2.8944702,0.817527
0,0.15,-0.89478624,-1.1157326
0,0.02,2.6026175,-5.1738343
0,0.005,1.7300196,-3.733661
0,0.005,1.4396069,-3.5024817
0,0.07,2.6941419,-4.6923018
1,0.475,-3.040269,0.6497482
0,0.065,0.04718243,-2.30718
0,0.025,1.396292,-3.5711026
