w,p,mu,sigma
0.000222519520514258,0.000624593974307736,3.75483514901611,1.31232302519884
0.000221645413702739,0.0010486675549938,3.70693705463583,1.30947310891781
0.000220186393216965,0.00126660881383559,3.65687563163935,1.33233660370923
0.00021973728035265,0.000935070746630781,3.6672805335359,1.30919978692885
0.000218202689319169,0.000791093749510644,3.71205239297544,1.26311080137769
0.000212371370050938,0.00192342225696034,3.54059087659279,0.947269674662564
0.000212061317323957,0.000695626871921124,3.52229111385524,0.94000921947317
0.000211843387040641,0.0011570928521723,3.54845522710173,0.93878919158759
0.000211480991553067,0.00268935805331935,3.55714370181524,0.936730721816796
0.000211451461655388,0.000379921549784899,3.5205757853754,0.956444651209314
0.000211437597402275,0.000648850666297261,3.53125753879666,0.956084894399002
0.000211196829964885,0.000583579878821588,3.52946634012834,0.993220241783603
0.000211187414693282,0.00208524925981319,3.5090328414537,0.982726828058561
0.000211077205893094,0.000650316943591833,3.52355667530397,0.971234943218669
0.000211061642207782,0.000258483039756546,3.548916669115,0.995345409064072
0.000211053030110685,0.00194460256592909,3.52302089121692,0.956367621509569
0.000210993715875526,0.00110110480081174,3.53283144577264,0.970703463815334
0.000210935066740773,0.00330181196855385,3.5188873737393,0.951939255279447
0.000210896915631875,2.50246230217699e-05,3.52732753490881,0.951727432187678
0.000210854378163091,0.00204269218987665,3.52656321984767,0.94757570456593
0.000210846550653053,0.00318326477486391,3.60375869676913,1.12589015676049
0.000210845687864882,0.000669373112840168,3.54340003478265,0.973196778104736
0.000210826534571763,0.00165816400651447,3.54456805104439,0.957064106292399
0.00021080879536228,0.00208220601876484,3.54069385256693,0.966549353336184
0.000210755014172323,0.00472881220934329,3.54021767039723,0.964642213897993
0.000210731303462239,0.00139123408496669,3.53585304453062,0.948047702945623
0.000210640078050163,0.00210544796339628,3.55749530288269,0.970910152230509
0.000210622036454259,0.000756957298782705,3.52688745900687,0.953187722835337
0.000210598860075883,0.00232057222763551,3.53945062671528,0.955858983075685
0.000210551641222646,0.0010448010016432,3.50601172815225,0.958644244603234
0.000210544798314027,0.00158125352508794,3.54597396707031,0.956574689153319
0.000210541907652346,0.00113672655899154,3.5598375766173,0.955309493222743
0.000210506951877274,0.000581825700998184,3.55366997357007,0.969832196029608
0.000210499723844302,0.000280248563061827,3.53463618275273,0.948163755721394
0.000210482140398528,0.00194111549932247,3.53230713592676,0.9501235891371
0.00021047932998549,0.00208568122202502,3.54768965156169,0.958590461999898
0.000210457819818182,0.000241230370072703,3.53681249405057,0.96412106431852
0.000210450703451371,0.000913679589265599,3.56466036891384,0.965461548694277
0.00021042467225087,0.0016348827514924,3.55508977316549,0.961491512386431
0.000210421818169668,0.000589326195915671,3.52271094450928,0.976075001070117
0.000210420497633637,0.00404975113160666,3.51110206592187,0.951063196520269
0.000210418154386994,0.00221077002429178,3.51499912696766,0.956961228837507
0.000210407155066932,0.00245071566379257,3.52664129725234,0.962763242526599
0.000210391814800343,0.000348173473655567,3.54951764389942,0.968472995190166
0.000210369952925169,0.000233145412547245,3.52234347386599,0.963332173126494
0.000210329960721799,0.000619963308726699,3.52083529610269,0.968980615375506
